Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Tengah,Kota Salatiga,PT BPR Dinamika Bangun Arta,600873
Provinsi Jawa Tengah,Kota Salatiga,PT Bank Perekonomian Rakyat Satya Artha,601396
Provinsi Jawa Tengah,Kota Pekalongan,PT Bank Perekonomian Rakyat Arta Utama,600699
Provinsi Jawa Tengah,Kota Pekalongan,PT Bank Perekonomian Rakyat BKK Kota Pekalongan (Perseroda),601548
Provinsi Jawa Tengah,Kota Pekalongan,PT Bank Perekonomian Rakyat Bank Pekalongan (Perseroda),601884
Provinsi Jawa Tengah,Kota Tegal,PT Bank Perekonomian Rakyat Bank Bahari Kota Tegal (Perseroda),600643
Provinsi Jawa Tengah,Kota Tegal,PT Bank Perekonomian Rakyat BKK Kota Tegal (Perseroda),601563
Provinsi Jawa Tengah,Kota Tegal,PT Bank Perekonomian Rakyat Central Artha,602650
Provinsi Jawa Tengah,Kota Magelang,Perumda BPR Bank Magelang,600573
Provinsi Jawa Tengah,Kota Magelang,PT BPR BKK Kota Magelang (Perseroda),600686
Provinsi Jawa Tengah,Kota Magelang,PT Bank Perekonomian Rakyat Mertoyudan Makmur,600703
Provinsi Jawa Tengah,Kota Magelang,PT Bank Perekonomian Rakyat Sinar Garuda Prima,601427
Provinsi Jawa Tengah,Kota Magelang,PT BPR Mitra,601429
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Adipura Santosa,600027
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT BPR Artha Daya,600065
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Suryamas,600086
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Central International,600087
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Binalanggeng Mulia,600138
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Bank Solo (Perseroda),600674
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Rejeki Insani,600679
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Sukadana,600683
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Delanggu Raya,600687
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Dana Utama,600785
