Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Sumatera Barat,Kab. Pasaman Barat,PT BPRS Mentari Pasaman Saiyo,620059
Provinsi Sumatera Barat,Kota Bukittinggi,PT Bank Pembiayaan Rakyat Syariah Jam Gadang Perseroda,620185
Provinsi Sumatera Barat,Kota Sawahlunto,PT BPRS Gajahtongga KotoPiliang,620162
Provinsi Sumatera Barat,Kota Solok,PT BPRS Barakah Nawaitul Ikhlas,620123
Provinsi Sumatera Barat,Kota Payakumbuh,PT BANK PEREKONOMIAN RAKYAT SYARIAH AL MAKMUR,620132
Provinsi Riau,Kab. Kampar,PT Bank Perekonomian Rakyat Syariah Berkah Dana Fadhlillah (Perseroda),620060
Provinsi Riau,Kab. Siak,PT BANK PEREKONOMIAN RAKYAT SYARIAH SIAK JAYA,620189
Provinsi Riau,Kota Pekanbaru,PT Bank Perekonomian Rakyat Syariah Hasanah,620041
Provinsi Sumatera Selatan,Kab. Banyuasin,PT Bank Perekonomian Rakyat Syariah Al Falah,620040
Provinsi Kep. Bangka Belitung,Kota Pangkal Pinang,PT Bank Perekonomian Rakyat Syariah Bangka Belitung,620076
Provinsi Kep. Riau,Kota Batam,PT Bank Perekonomian Rakyat Syariah Syarikat Madani,620121
Provinsi Kep. Riau,Kota Batam,PT Bank Perekonomian Rakyat Syariah Vitka Central,620134
Provinsi Lampung,Kab. Lampung Selatan,PT Bank Perekonomian Rakyat Syariah Kotabumi (Perseroda),620131
Provinsi Lampung,Kab. Lampung Selatan,PT Bank Perekonomian Rakyat Syariah Way Kanan (Perseroda),620157
Provinsi Lampung,Kab. Lampung Tengah,PT Bank Perekonomian Rakyat Syariah Rajasa Lampung Tengah (Perseroda),620129
Provinsi Lampung,Kab. Lampung Barat,PT Bank Perekonomian Rakyat Syariah Lampung Barat (Perseroda),620175
Provinsi Lampung,Kab. Tanggamus,PT Bank Perekonomian Rakyat Syariah Tanggamus (Perseroda),620082
Provinsi Lampung,Kab. Lampung Timur,PT Bank Perekonomian Rakyat Syariah Lampung Timur (Perseroda),620140
Provinsi Lampung,Kab. Lampung Timur,PT Bank Perekonomian Rakyat Syariah Aman Syariah,620173
Provinsi Lampung,Kab. Tulang Bawang Barat,PT Bank Perekonomian Rakyat Syariah Tani Tulang Bawang Barat (Perseroda),620176
Provinsi Lampung,Kota Bandar Lampung,PT Bank Perekonomian Rakyat Syariah Bandar Lampung (Perseroda),620051
Provinsi Lampung,Kota Bandar Lampung,PT Bank Perekonomian Rakyat Syariah Mitra Agro Usaha,620169
Provinsi Lampung,Kota Metro,PT Bank Perekonomian Rakyat Syariah Metro Madani,620091
Provinsi Kalimantan Selatan,Kab. Banjar,PT Bank Perekonomian Rakyat Syariah Barkah Gemadana,620013
Provinsi Kalimantan Timur,Kab. Kutai Kartanegara,PT Bank Perekonomian Rakyat Syariah Manfaatsyariah,620014
Provinsi Kalimantan Tengah,Kota Palangkaraya,PT BPRS Mitra Amanah,620170
