Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2010,12,,,PT Bank Perekonomian Rakyat Syariah Sukowati Sragen (Perseroda),Kab. Sragen,Provinsi Jawa Tengah,620124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,Kota Bandung,Provinsi Jawa Barat,620161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Tengku Chiek Dipante,Kab. Pidie,Provinsi NAD,620025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Dharma Kuwera,Kab. Klaten,Provinsi Jawa Tengah,620159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Surya Sejati,Kab. Takalar,Provinsi Sulawesi Selatan,620031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Pembiayaan Rakyat Syariah Gayo Perseroda,Kab. Aceh Tengah,Provinsi NAD,620120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Mitra Amanah,Kota Palangkaraya,Provinsi Kalimantan Tengah,620170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Kota Juang Perseroda,Kab. Aceh Jeumpa/Bireuen,Provinsi NAD,620144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Almabrur Klaten,Kab. Klaten,Provinsi Jawa Tengah,620142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Insan Madani,Kab. Sukoharjo,Provinsi Jawa Tengah,620154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
